#,uniqueID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,EXP,MALE,FEMALE,Catch Rate,HEIGHT(dm),WEIGHT(hectogram) ,FRIENDSHIP,BASE EXP YEILD,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total EVs,Egg Group 1,Egg Group 2,Cycles,Steps,Gen III,Gen IV,Gen V-VI,Gen VII
133,133,Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,MF,87.5,12.5,45,3,65,70,65,0,0,0,0,1,0,1,Field,—,35,8960,9216,9180,8995,8960
134,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE,MF,87.5,12.5,45,10,290,70,184,2,0,0,0,0,0,2,Field,—,35,8960,9216,9180,8995,8960
135,135,Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE,MF,87.5,12.5,45,8,245,70,184,0,0,0,0,0,2,2,Field,—,35,8960,9216,9180,8995,8960
136,136,Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE,MF,87.5,12.5,45,9,250,70,184,0,2,0,0,0,0,2,Field,—,35,8960,9216,9180,8995,8960
137,137,Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,MF,0,0,45,8,365,70,79,0,0,0,1,0,0,1,Mineral,—,20,5120,5376,5355,5140,5120
138,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,MF,87.5,12.5,45,4,75,70,71,0,0,1,0,0,0,1,Water 1,Water 3,30,7680,7936,7905,7710,7680
139,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE,MF,87.5,12.5,45,10,350,70,173,0,0,2,0,0,0,2,Water 1,Water 3,30,7680,7936,7905,7710,7680
140,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,MF,87.5,12.5,45,5,115,70,71,0,0,1,0,0,0,1,Water 1,Water 3,30,7680,7936,7905,7710,7680
141,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE,MF,87.5,12.5,45,13,405,70,173,0,2,0,0,0,0,2,Water 1,Water 3,30,7680,7936,7905,7710,7680
142,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,SL,87.5,12.5,45,18,590,70,180,0,0,0,0,0,2,2,Flying,—,30,7680,7936,7905,7710,7680
142,142M,Aerodactyl (Mega Aerodactyl),Rock,Flying,615,80,135,85,70,95,150,1,FALSE,SL,87.5,12.5,45,21,790,70,215,0,0,0,0,0,2,2,Flying,—,30,7680,7936,7905,7710,7680
143,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,SL,87.5,12.5,25,21,4600,70,189,2,0,0,0,0,0,2,Monster,—,40,10240,10496,10455,10280,10240
144,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,SL,0,0,3,17,554,35,261,0,0,0,0,3,0,3,Undiscovered,—,80,20480,20736,20655,20560,20480
145,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,SL,0,0,3,16,526,35,261,0,0,0,3,0,0,3,Undiscovered,—,80,20480,20736,20655,20560,20480
146,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,SL,0,0,3,20,600,35,261,0,0,0,3,0,0,3,Undiscovered,—,80,20480,20736,20655,20560,20480
147,147,Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,SL,50,50,45,18,33,35,60,0,1,0,0,0,0,1,Water 1,Dragon,40,10240,10496,10455,10280,10240
148,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE,SL,50,50,45,40,165,35,147,0,2,0,0,0,0,2,Water 1,Dragon,40,10240,10496,10455,10280,10240
149,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,SL,50,50,45,22,2100,35,270,0,3,0,0,0,0,3,Water 1,Dragon,40,10240,10496,10455,10280,10240
150,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,SL,0,0,3,20,1220,0,306,0,0,0,3,0,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
150,150MX,Mewtwo (Mega Mewtwo X),Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE,SL,0,0,3,23,1270,0,351,0,0,0,3,0,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
150,150MY,Mewtwo (Mega Mewtwo Y),Psychic,,780,106,150,70,194,120,140,1,TRUE,SL,0,0,3,15,330,0,351,0,0,0,3,0,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
151,151,Mew,Psychic,,600,100,100,100,100,100,100,1,TRUE,MS,0,0,45,4,40,100,270,3,0,0,0,0,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
152,152,Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE,MS,87.5,12.5,45,9,64,70,64,0,0,0,0,1,0,1,Monster,Grass,20,5120,5376,5355,5140,5120
153,153,Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE,MS,87.5,12.5,45,12,158,70,142,0,0,1,0,1,0,2,Monster,Grass,20,5120,5376,5355,5140,5120
154,154,Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE,MS,87.5,12.5,45,18,1005,70,236,0,0,1,0,2,0,3,Monster,Grass,20,5120,5376,5355,5140,5120
155,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE,MS,87.5,12.5,45,5,79,70,62,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
156,156,Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE,MS,87.5,12.5,45,9,190,70,142,0,0,0,1,0,1,2,Field,—,20,5120,5376,5355,5140,5120
157,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE,MS,87.5,12.5,45,17,795,70,240,0,0,0,3,0,0,3,Field,—,20,5120,5376,5355,5140,5120
158,158,Totodile,Water,,314,50,65,64,44,48,43,2,FALSE,MS,87.5,12.5,45,6,95,70,63,0,1,0,0,0,0,1,Monster,Water 1,20,5120,5376,5355,5140,5120
159,159,Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE,MS,87.5,12.5,45,11,250,70,142,0,1,1,0,0,0,2,Monster,Water 1,20,5120,5376,5355,5140,5120
160,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE,MS,87.5,12.5,45,23,888,70,239,0,2,1,0,0,0,3,Monster,Water 1,20,5120,5376,5355,5140,5120
161,161,Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE,MF,50,50,255,8,60,70,43,0,1,0,0,0,0,1,Field,—,15,3840,4096,4080,3855,3840
162,162,Furret,Normal,,415,85,76,64,45,55,90,2,FALSE,MF,50,50,90,18,325,70,145,0,0,0,0,0,2,2,Field,—,15,3840,4096,4080,3855,3840
163,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,MF,50,50,255,7,212,70,52,1,0,0,0,0,0,1,Flying,—,15,3840,4096,4080,3855,3840
164,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,MF,50,50,90,16,408,70,158,2,0,0,0,0,0,2,Flying,—,15,3840,4096,4080,3855,3840
165,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,FA,50,50,255,10,108,70,53,0,0,0,0,1,0,1,Bug,—,15,3840,4096,4080,3855,3840
166,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,FA,50,50,90,14,356,70,137,0,0,0,0,2,0,2,Bug,—,15,3840,4096,4080,3855,3840
167,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,FA,50,50,255,5,85,70,50,0,1,0,0,0,0,1,Bug,—,15,3840,4096,4080,3855,3840
168,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,FA,50,50,90,11,335,70,140,0,2,0,0,0,0,2,Bug,—,15,3840,4096,4080,3855,3840
169,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,MF,50,50,90,18,750,70,241,0,0,0,0,0,3,3,Flying,—,15,3840,4096,4080,3855,3840
170,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE,SL,50,50,190,5,120,70,66,1,0,0,0,0,0,1,Water 2,—,20,5120,5376,5355,5140,5120
171,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE,SL,50,50,75,12,225,70,161,2,0,0,0,0,0,2,Water 2,—,20,5120,5376,5355,5140,5120
172,172,Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE,MF,50,50,190,3,20,70,41,0,0,0,0,0,1,1,Undiscovered,—,20,5120,5376,5355,5140,5120
173,173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE,FA,25,75,150,3,30,140,44,0,0,0,0,1,0,1,Undiscovered,—,20,5120,5376,5355,5140,5120
174,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE,FA,25,75,170,3,10,70,42,1,0,0,0,0,0,1,Undiscovered,—,20,5120,5376,5355,5140,5120
175,175,Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE,FA,87.5,12.5,190,3,15,70,49,0,0,0,0,1,0,1,Undiscovered,—,10,2560,2816,2805,2570,2560
176,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE,FA,87.5,12.5,75,6,32,70,142,0,0,0,0,2,0,2,Flying,Fairy,10,2560,2816,2805,2570,2560
177,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE,MF,50,50,190,2,20,70,64,0,0,0,1,0,0,1,Flying,—,20,5120,5376,5355,5140,5120
178,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE,MF,50,50,75,15,150,70,165,0,0,0,1,0,1,2,Flying,—,20,5120,5376,5355,5140,5120
179,179,Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE,MS,50,50,235,6,78,70,56,0,0,0,1,0,0,1,Monster,Field,20,5120,5376,5355,5140,5120
180,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE,MS,50,50,120,8,133,70,128,0,0,0,2,0,0,2,Monster,Field,20,5120,5376,5355,5140,5120
181,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE,MS,50,50,45,14,615,70,230,0,0,0,3,0,0,3,Monster,Field,20,5120,5376,5355,5140,5120
181,181M,Ampharos (Mega Ampharos),Electric,Dragon,610,90,95,105,165,110,45,2,FALSE,MS,50,50,45,14,615,70,275,0,0,0,3,0,0,3,Monster,Field,20,5120,5376,5355,5140,5120
182,182,Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE,MS,50,50,45,4,58,70,221,0,0,0,0,3,0,3,Grass,—,20,5120,5376,5355,5140,5120
183,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE,FA,50,50,190,4,85,70,88,2,0,0,0,0,0,2,Water 1,Fairy,10,2560,2816,2805,2570,2560
184,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE,FA,50,50,75,8,285,70,189,3,0,0,0,0,0,3,Water 1,Fairy,10,2560,2816,2805,2570,2560
185,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE,MF,50,50,65,12,380,70,144,0,0,2,0,0,0,2,Mineral,—,20,5120,5376,5355,5140,5120
186,186,Politoed,Water,,500,90,75,75,90,100,70,2,FALSE,MS,50,50,45,11,339,70,225,0,0,0,0,3,0,3,Water 1,—,20,5120,5376,5355,5140,5120
187,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE,MS,50,50,255,4,5,70,50,0,0,0,0,1,0,1,Fairy,Grass,20,5120,5376,5355,5140,5120
188,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE,MS,50,50,120,6,10,70,119,0,0,0,0,0,2,2,Fairy,Grass,20,5120,5376,5355,5140,5120
189,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE,MS,50,50,45,8,30,70,207,0,0,0,0,0,3,3,Fairy,Grass,20,5120,5376,5355,5140,5120
190,190,Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE,FA,50,50,45,8,115,70,72,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
191,191,Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE,MS,50,50,235,3,18,70,36,0,0,0,1,0,0,1,Grass,—,20,5120,5376,5355,5140,5120
192,192,Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE,MS,50,50,120,8,85,70,149,0,0,0,2,0,0,2,Grass,—,20,5120,5376,5355,5140,5120
193,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE,MF,50,50,75,12,380,70,78,0,0,0,0,0,1,1,Bug,—,20,5120,5376,5355,5140,5120
194,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE,MF,50,50,255,4,85,70,42,1,0,0,0,0,0,1,Water 1,Field,20,5120,5376,5355,5140,5120
195,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE,MF,50,50,90,14,750,70,151,2,0,0,0,0,0,2,Water 1,Field,20,5120,5376,5355,5140,5120
196,196,Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE,MF,87.5,12.5,45,9,265,70,184,0,0,0,2,0,0,2,Field,—,35,8960,9216,9180,8995,8960
197,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE,MF,87.5,12.5,45,10,270,35,184,0,0,0,0,2,0,2,Field,—,35,8960,9216,9180,8995,8960
198,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE,MS,50,50,30,5,21,35,81,0,0,0,0,0,1,1,Flying,—,20,5120,5376,5355,5140,5120
199,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE,MF,50,50,70,20,795,70,172,0,0,0,0,3,0,3,Monster,Water 1,20,5120,5376,5355,5140,5120
200,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE,FA,50,50,45,7,10,35,87,0,0,0,0,1,0,1,Amorphous,—,25,6400,6656,6630,6425,6400
201,201,Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE,MF,0,0,225,5,50,70,118,0,1,0,1,0,0,2,Undiscovered,—,40,10240,10496,10455,10280,10240
202,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE,MF,50,50,45,13,285,70,142,2,0,0,0,0,0,2,Amorphous,—,20,5120,5376,5355,5140,5120
203,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE,MF,50,50,60,15,415,70,159,0,0,0,2,0,0,2,Field,—,20,5120,5376,5355,5140,5120
204,204,Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE,MF,50,50,190,6,72,70,58,0,0,1,0,0,0,1,Bug,—,20,5120,5376,5355,5140,5120
205,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE,MF,50,50,75,12,1258,70,163,0,0,2,0,0,0,2,Bug,—,20,5120,5376,5355,5140,5120
206,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE,MF,50,50,190,15,140,70,145,1,0,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
207,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE,MS,50,50,60,11,648,70,86,0,0,1,0,0,0,1,Bug,—,20,5120,5376,5355,5140,5120
208,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE,MF,50,50,25,92,4000,70,179,0,0,2,0,0,0,2,Mineral,—,25,6400,6656,6630,6425,6400
208,208M,Steelix (Mega Steelix),Steel,Ground,610,75,125,230,55,95,30,2,FALSE,MF,50,50,25,105,7400,70,214,0,0,2,0,0,0,2,Mineral,—,25,6400,6656,6630,6425,6400
209,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE,FA,25,75,190,6,78,70,60,0,1,0,0,0,0,1,Field,Fairy,20,5120,5376,5355,5140,5120
210,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE,FA,25,75,75,14,487,70,158,0,2,0,0,0,0,2,Field,Fairy,20,5120,5376,5355,5140,5120
211,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE,MF,50,50,45,5,39,70,88,0,1,0,0,0,0,1,Water 2,—,20,5120,5376,5355,5140,5120
212,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE,MF,50,50,25,18,1180,70,175,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
212,212M,Scizor (Mega Scizor),Bug,Steel,600,70,150,140,65,100,75,2,FALSE,MF,50,50,25,20,1250,70,210,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
213,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE,MS,50,50,190,6,205,70,177,0,0,1,0,1,0,2,Bug,—,20,5120,5376,5355,5140,5120
214,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE,SL,50,50,45,15,540,70,175,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
214,214M,Heracross (Mega Heracross),Bug,Fighting,600,80,185,115,40,105,75,2,FALSE,SL,50,50,45,17,625,70,210,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
215,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE,MS,50,50,60,9,280,35,86,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
216,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE,MF,50,50,120,6,88,70,66,0,1,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
217,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE,MF,50,50,60,18,1258,70,175,0,2,0,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
218,218,Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE,MF,50,50,190,7,350,70,50,0,0,0,1,0,0,1,Amorphous,—,20,5120,5376,5355,5140,5120
219,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE,MF,50,50,75,8,550,70,151,0,0,2,0,0,0,2,Amorphous,—,20,5120,5376,5355,5140,5120
220,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE,SL,50,50,225,4,65,70,50,0,1,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
221,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE,SL,50,50,75,11,558,70,158,1,1,0,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
222,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE,FA,25,75,60,6,50,70,144,0,0,1,0,1,0,2,Water 1,Water 3,20,5120,5376,5355,5140,5120
223,223,Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE,MF,50,50,190,6,120,70,60,0,0,0,1,0,0,1,Water 1,Water 2,20,5120,5376,5355,5140,5120
224,224,Octillery,Water,,480,75,105,75,105,75,45,2,FALSE,MF,50,50,75,9,285,70,168,0,1,0,1,0,0,2,Water 1,Water 2,20,5120,5376,5355,5140,5120
225,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE,FA,50,50,45,9,160,70,116,0,0,0,0,0,1,1,Water 1,Field,20,5120,5376,5355,5140,5120
226,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE,SL,50,50,25,21,2200,70,170,0,0,0,0,2,0,2,Water 1,—,25,6400,6656,6630,6425,6400
227,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE,SL,50,50,25,17,505,70,163,0,0,2,0,0,0,2,Flying,—,25,6400,6656,6630,6425,6400
228,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE,SL,50,50,120,6,108,35,66,0,0,0,1,0,0,1,Field,—,20,5120,5376,5355,5140,5120
229,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE,SL,50,50,45,14,350,35,175,0,0,0,2,0,0,2,Field,—,20,5120,5376,5355,5140,5120
229,229M,Houndoom (Mega Houndoom),Dark,Fire,600,75,90,90,140,90,115,2,FALSE,SL,50,50,45,19,495,35,210,0,0,0,2,0,0,2,Field,—,20,5120,5376,5355,5140,5120
230,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE,MF,50,50,45,18,1520,70,243,0,1,0,1,1,0,3,Water 1,Dragon,20,5120,5376,5355,5140,5120
231,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE,MF,50,50,120,5,335,70,66,1,0,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
232,232,Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE,MF,50,50,60,11,1200,70,175,0,1,1,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
233,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE,MF,0,0,45,6,325,70,180,0,0,0,2,0,0,2,Mineral,—,20,5120,5376,5355,5140,5120
234,234,Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE,SL,50,50,45,14,712,70,163,0,1,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
235,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE,FA,50,50,45,12,580,70,88,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
236,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE,MF,100,0,75,7,210,70,42,0,1,0,0,0,0,1,Undiscovered,—,25,6400,6656,6630,6425,6400
237,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE,MF,100,0,45,14,480,70,159,0,0,0,0,2,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
238,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE,MF,0,100,45,4,60,70,61,0,0,0,1,0,0,1,Undiscovered,—,25,6400,6656,6630,6425,6400
239,239,Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE,MF,75,25,45,6,235,70,72,0,0,0,0,0,1,1,Undiscovered,—,25,6400,6656,6630,6425,6400
240,240,Magby,Fire,,365,45,75,37,70,55,83,2,FALSE,MF,75,25,45,7,214,70,73,0,0,0,0,0,1,1,Undiscovered,—,25,6400,6656,6630,6425,6400
241,241,Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE,SL,0,100,45,12,755,70,172,0,0,2,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
242,242,Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE,FA,0,100,30,15,468,140,608,3,0,0,0,0,0,3,Fairy,—,40,10240,10496,10455,10280,10240
243,243,Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE,SL,0,0,3,19,1780,35,261,0,0,0,1,0,2,3,Undiscovered,—,80,20480,20736,20655,20560,20480
244,244,Entei,Fire,,580,115,115,85,90,75,100,2,TRUE,SL,0,0,3,21,1980,35,261,1,2,0,0,0,0,3,Undiscovered,—,80,20480,20736,20655,20560,20480
245,245,Suicune,Water,,580,100,75,115,90,115,85,2,TRUE,SL,0,0,3,20,1870,35,261,0,0,1,0,2,0,3,Undiscovered,—,80,20480,20736,20655,20560,20480
246,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE,SL,50,50,45,6,720,35,60,0,1,0,0,0,0,1,Monster,—,40,10240,10496,10455,10280,10240
247,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE,SL,50,50,45,12,1520,35,144,0,2,0,0,0,0,2,Monster,—,40,10240,10496,10455,10280,10240
248,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE,SL,50,50,45,20,2020,35,270,0,3,0,0,0,0,3,Monster,—,40,10240,10496,10455,10280,10240
248,248M,Tyranitar (Mega Tyranitar),Rock,Dark,700,100,164,150,95,120,71,2,FALSE,SL,50,50,45,25,2550,35,315,0,3,0,0,0,0,3,Monster,—,40,10240,10496,10455,10280,10240
249,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE,SL,0,0,3,52,2160,0,306,0,0,0,0,3,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
250,250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE,SL,0,0,3,38,1990,0,306,0,0,0,0,3,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
251,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,TRUE,MS,0,0,45,6,50,100,270,3,0,0,0,0,0,3,Undiscovered,—,120,30720,30976,30855,30840,30720
252,252,Treecko,Grass,,310,40,45,35,65,55,70,3,FALSE,MS,87.5,12.5,45,5,50,70,62,0,0,0,0,0,1,1,Monster,Dragon,20,—,5376,5355,5140,5120
253,253,Grovyle,Grass,,405,50,65,45,85,65,95,3,FALSE,MS,87.5,12.5,45,9,216,70,142,0,0,0,0,0,2,2,Monster,Dragon,20,—,5376,5355,5140,5120
254,254,Sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE,MS,87.5,12.5,45,17,522,70,239,0,0,0,0,0,3,3,Monster,Dragon,20,—,5376,5355,5140,5120
254,254M,Sceptile (Mega Sceptile),Grass,Dragon,630,70,110,75,145,85,145,3,FALSE,MS,87.5,12.5,45,19,552,70,284,0,0,0,0,0,3,3,Monster,Dragon,20,—,5376,5355,5140,5120
255,255,Torchic,Fire,,310,45,60,40,70,50,45,3,FALSE,MS,87.5,12.5,45,4,25,70,62,0,0,0,1,0,0,1,Field,—,20,—,5376,5355,5140,5120
256,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE,MS,87.5,12.5,45,9,195,70,142,0,1,0,1,0,0,2,Field,—,20,—,5376,5355,5140,5120
257,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE,MS,87.5,12.5,45,19,520,70,239,0,3,0,0,0,0,3,Field,—,20,—,5376,5355,5140,5120
257,257M,Blaziken (Mega Blaziken),Fire,Fighting,630,80,160,80,130,80,100,3,FALSE,MS,87.5,12.5,45,19,520,70,284,0,3,0,0,0,0,3,Field,—,20,—,5376,5355,5140,5120
258,258,Mudkip,Water,,310,50,70,50,50,50,40,3,FALSE,MS,87.5,12.5,45,4,76,70,62,0,1,0,0,0,0,1,Monster,Water 1,20,—,5376,5355,5140,5120
259,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE,MS,87.5,12.5,45,7,280,70,142,0,2,0,0,0,0,2,Monster,Water 1,20,—,5376,5355,5140,5120
260,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE,MS,87.5,12.5,45,15,819,70,241,0,3,0,0,0,0,3,Monster,Water 1,20,—,5376,5355,5140,5120
260,260M,Swampert (Mega Swampert),Water,Ground,635,100,150,110,95,110,70,3,FALSE,MS,87.5,12.5,45,19,1020,70,286,0,3,0,0,0,0,3,Monster,Water 1,20,—,5376,5355,5140,5120
261,261,Poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE,MF,50,50,255,5,136,70,56,0,1,0,0,0,0,1,Field,—,15,—,4096,4080,3855,3840
262,262,Mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE,MF,50,50,127,10,370,70,147,0,2,0,0,0,0,2,Field,—,15,—,4096,4080,3855,3840
263,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE,MF,50,50,255,4,175,70,56,0,0,0,0,0,1,1,Field,—,15,—,4096,4080,3855,3840
264,264,Linoone,Normal,,420,78,70,61,50,61,100,3,FALSE,MF,50,50,90,5,325,70,147,0,0,0,0,0,2,2,Field,—,15,—,4096,4080,3855,3840
265,265,Wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE,MF,50,50,255,3,36,70,56,1,0,0,0,0,0,1,Bug,—,15,—,4096,4080,3855,3840
266,266,Silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE,MF,50,50,120,6,100,70,72,0,0,2,0,0,0,2,Bug,—,15,—,4096,4080,3855,3840
